real,imag
-46.0,-3.0
68.0,24.0
269.0,55.0
494.0,82.0
674.0,109.0
760.0,127.0
760.0,121.0
711.0,105.0
649.0,85.0
620.0,60.0
642.0,48.0
698.0,54.0
726.0,45.0
706.0,29.0
656.0,20.0
617.0,14.0
633.0,6.0
703.0,-7.0
781.0,-26.0
814.0,-30.0
747.0,-28.0
524.0,-31.0
179.0,-16.0
-219.0,23.0
-587.0,68.0
-844.0,112.0
-950.0,149.0
-899.0,157.0
-721.0,135.0
-431.0,82.0
-83.0,8.0
257.0,-56.0
550.0,-124.0
775.0,-196.0
919.0,-253.0
947.0,-279.0
809.0,-261.0
457.0,-162.0
-46.0,5.0
-518.0,175.0
-747.0,282.0
-606.0,241.0
-153.0,64.0
389.0,-159.0
736.0,-309.0
684.0,-294.0
253.0,-101.0
-312.0,169.0
-696.0,353.0
-704.0,361.0
-346.0,187.0
175.0,-92.0
597.0,-348.0
789.0,-484.0
759.0,-480.0
632.0,-404.0
525.0,-342.0
483.0,-333.0
508.0,-361.0
551.0,-404.0
561.0,-433.0
540.0,-430.0
522.0,-412.0
509.0,-409.0
507.0,-425.0
511.0,-449.0
511.0,-468.0
497.0,-481.0
474.0,-480.0
468.0,-473.0
464.0,-463.0
460.0,-472.0
446.0,-502.0
435.0,-523.0
436.0,-522.0
441.0,-521.0
436.0,-523.0
422.0,-526.0
395.0,-538.0
374.0,-567.0
382.0,-589.0
381.0,-576.0
352.0,-540.0
323.0,-522.0
318.0,-541.0
345.0,-591.0
385.0,-674.0
403.0,-726.0
365.0,-655.0
251.0,-442.0
76.0,-132.0
-117.0,214.0
-257.0,532.0
-345.0,777.0
-384.0,884.0
-366.0,855.0
-292.0,712.0
-174.0,440.0
-34.0,77.0
93.0,-291.0
174.0,-592.0
219.0,-762.0
228.0,-798.0
205.0,-741.0
167.0,-655.0
144.0,-591.0
127.0,-574.0
116.0,-593.0
115.0,-631.0
121.0,-700.0
127.0,-775.0
117.0,-813.0
87.0,-745.0
44.0,-515.0
-6.0,-135.0
-44.0,292.0
-70.0,642.0
-77.0,832.0
-64.0,852.0
-43.0,764.0
-22.0,672.0
-11.0,624.0
0.0,615.0
18.0,624.0
34.0,649.0
41.0,707.0
45.0,792.0
55.0,837.0
50.0,768.0
35.0,542.0
4.0,170.0
-56.0,-267.0
-120.0,-625.0
-161.0,-807.0
-175.0,-810.0
-171.0,-718.0
-158.0,-628.0
-153.0,-572.0
-163.0,-564.0
-170.0,-574.0
-180.0,-595.0
-204.0,-645.0
-236.0,-715.0
-262.0,-757.0
-259.0,-700.0
-192.0,-490.0
-59.0,-129.0
104.0,283.0
251.0,608.0
332.0,763.0
347.0,763.0
317.0,688.0
280.0,613.0
256.0,559.0
247.0,531.0
248.0,532.0
279.0,562.0
339.0,612.0
397.0,680.0
428.0,721.0
389.0,658.0
260.0,452.0
56.0,133.0
-184.0,-217.0
-392.0,-503.0
-524.0,-639.0
-556.0,-629.0
-513.0,-554.0
-447.0,-481.0
-423.0,-439.0
-428.0,-424.0
-440.0,-423.0
-458.0,-436.0
-496.0,-474.0
-564.0,-528.0
-612.0,-549.0
-565.0,-491.0
-394.0,-332.0
-114.0,-77.0
212.0,204.0
484.0,421.0
633.0,529.0
647.0,527.0
584.0,471.0
522.0,403.0
485.0,358.0
479.0,359.0
498.0,348.0
535.0,340.0
592.0,363.0
667.0,396.0
716.0,411.0
658.0,374.0
452.0,263.0
118.0,86.0
-270.0,-105.0
-581.0,-250.0
-747.0,-318.0
-784.0,-316.0
-728.0,-274.0
-644.0,-227.0
-580.0,-190.0
-559.0,-177.0
-571.0,-172.0
-605.0,-179.0
-673.0,-194.0
-766.0,-200.0
-815.0,-196.0
-738.0,-166.0
-503.0,-104.0
-138.0,-17.0
278.0,73.0
622.0,137.0
804.0,154.0
829.0,143.0
762.0,120.0
686.0,98.0
636.0,93.0
613.0,95.0
587.0,79.0
602.0,71.0
688.0,73.0
811.0,69.0
875.0,61.0
790.0,41.0
511.0,21.0
61.0,26.0
-420.0,38.0
-722.0,51.0
-688.0,63.0
-360.0,44.0
126.0,9.0
599.0,-32.0
912.0,-82.0
1016.0,-110.0
930.0,-110.0
711.0,-86.0
416.0,-28.0
88.0,35.0
-236.0,93.0
-533.0,154.0
-770.0,224.0
-916.0,277.0
-944.0,292.0
-806.0,254.0
-457.0,164.0
39.0,20.0
496.0,-136.0
730.0,-222.0
620.0,-204.0
165.0,-55.0
-402.0,174.0
-762.0,344.0
-714.0,334.0
